index,rating
index_0,1
index_1,1
index_2,1
index_3,5
index_4,2
index_5,1
index_6,1
index_7,2
index_8,2
index_9,3
index_10,5
index_11,5
index_12,1
index_13,5
index_14,5
index_15,3
index_16,2
index_17,1
index_18,2
index_19,5
index_20,4
index_21,4
index_22,2
index_23,4
index_24,2
index_25,2
index_26,5
index_27,5
index_28,4
index_29,5
index_30,4
index_31,1
index_32,5
index_33,5
index_34,5
index_35,5
index_36,5
index_37,5
index_38,1
index_39,5
index_40,2
index_41,3
index_42,5
index_43,3
index_44,5
index_45,3
index_46,4
index_47,3
index_48,4
index_49,3
index_50,3
index_51,4
index_52,3
index_53,5
index_54,4
index_55,3
index_56,5
index_57,3
index_58,3
index_59,5
index_60,5
index_61,5
index_62,4
index_63,1
index_64,5
index_65,4
index_66,4
index_67,5
index_68,1
index_69,3
index_70,5
index_71,5
index_72,1
index_73,3
index_74,1
index_75,1
index_76,5
index_77,4
index_78,5
index_79,5
index_80,5
index_81,4
index_82,3
index_83,5
index_84,1
index_85,4
index_86,5
index_87,5
index_88,4
index_89,5
index_90,4
index_91,5
index_92,5
index_93,5
index_94,5
index_95,1
index_96,2
index_97,5
index_98,3
index_99,4
index_100,1
index_101,5
index_102,5
index_103,5
index_104,1
index_105,5
index_106,5
index_107,5
index_108,5
index_109,1
index_110,4
index_111,5
index_112,4
index_113,1
index_114,5
index_115,5
index_116,2
index_117,1
index_118,1
index_119,4
index_120,5
index_121,5
index_122,5
index_123,5
index_124,5
index_125,5
index_126,5
index_127,4
index_128,5
index_129,4
index_130,4
index_131,5
index_132,5
index_133,4
index_134,4
index_135,5
index_136,4
index_137,2
index_138,1
index_139,5
index_140,4
index_141,5
index_142,4
index_143,5
index_144,2
index_145,1
index_146,3
index_147,3
index_148,5
index_149,4
index_150,4
index_151,5
index_152,3
index_153,5
index_154,2
index_155,1
index_156,5
index_157,3
index_158,5
index_159,5
index_160,3
index_161,5
index_162,3
index_163,5
index_164,2
index_165,4
index_166,5
index_167,5
index_168,5
index_169,5
index_170,5
index_171,3
index_172,2
index_173,5
index_174,4
index_175,5
index_176,3
index_177,4
index_178,5
index_179,1
index_180,3
index_181,2
index_182,5
index_183,4
index_184,2
index_185,3
index_186,1
index_187,3
index_188,1
index_189,5
index_190,5
index_191,4
index_192,1
index_193,1
index_194,5
index_195,1
index_196,3
index_197,5
index_198,3
index_199,5
index_200,3
index_201,5
index_202,3
index_203,1
index_204,4
index_205,4
index_206,1
index_207,3
index_208,5
index_209,1
index_210,5
index_211,4
index_212,4
index_213,5
index_214,4
index_215,3
index_216,1
index_217,3
index_218,5
index_219,2
index_220,4
index_221,1
index_222,5
index_223,3
index_224,1
index_225,5
index_226,5
index_227,3
index_228,3
index_229,3
index_230,5
index_231,4
index_232,1
index_233,5
index_234,5
index_235,5
index_236,4
index_237,5
index_238,5
index_239,4
index_240,5
index_241,3
index_242,4
index_243,5
index_244,5
index_245,4
index_246,1
index_247,4
index_248,4
index_249,5
index_250,5
index_251,5
index_252,5
index_253,5
index_254,5
index_255,2
index_256,4
index_257,5
index_258,5
index_259,5
index_260,5
index_261,5
index_262,5
index_263,5
index_264,5
index_265,5
index_266,4
index_267,5
index_268,4
index_269,5
index_270,5
index_271,5
index_272,5
index_273,5
index_274,5
index_275,4
index_276,5
index_277,4
index_278,5
index_279,4
index_280,5
index_281,1
index_282,5
index_283,1
index_284,4
index_285,3
index_286,5
index_287,4
index_288,3
index_289,4
index_290,5
index_291,1
index_292,4
index_293,5
index_294,5
index_295,4
index_296,4
index_297,5
index_298,3
index_299,4
index_300,4
index_301,5
index_302,5
index_303,2
index_304,4
index_305,4
index_306,5
index_307,5
index_308,5
index_309,4
index_310,3
index_311,5
index_312,4
index_313,5
index_314,5
index_315,1
index_316,3
index_317,4
index_318,4
index_319,5
index_320,1
index_321,3
index_322,4
index_323,5
index_324,4
index_325,2
index_326,5
index_327,1
index_328,5
index_329,5
index_330,3
index_331,2
index_332,1
index_333,5
index_334,1
index_335,5
index_336,5
index_337,3
index_338,1
index_339,5
index_340,1
index_341,5
index_342,4
index_343,5
index_344,1
index_345,1
index_346,5
index_347,3
index_348,2
index_349,5
index_350,1
index_351,5
index_352,3
index_353,2
index_354,3
index_355,5
index_356,1
index_357,5
index_358,4
index_359,5
index_360,1
index_361,4
index_362,5
index_363,5
index_364,5
index_365,1
